"Country_Name",Lat,Lon,"bcg_iprange","bcg_officecode","bcg_officename","bcg_region","city_name"
"United Arab Emirates","24.4882","54.3549","10.36.32.0/19",ABD,"Abu Dhabi",EUR,"Abu Dhabi"
Netherlands,"52.3732","4.8907","10.44.32.0/19",AMS,Amsterdam,EUR,Amsterdam
Chile,"-75","-71.5","10.106.0.0/16",Azure,"West Europe",Cloud,"Antártica"
Chile,"-75","-71.5","10.107.0.0/16",Azure,"Southeast Asia",Cloud,"Antártica"
Chile,"-75","-71.5","172.21.192.0/18","Azure (FSE)","Central US",Cloud,"Antártica"
Chile,"-75","-71.5","172.22.192.0/18","Azure (FSE)","West Europe",Cloud,"Antártica"
Chile,"-75","-71.5","172.23.192.0/18","Azure (FSE)","Southeast Asia",Cloud,"Antártica"
Greece,"37.9753","23.7361","10.63.32.0/19",ATH,Athens,EUR,Athens
"United States","33.7485","-84.3915","10.18.32.0/19",ATL,Atlanta,AMR,Atlanta
"United States","33.7485","-84.3915","10.231.32.0/19",BRH,"Brighthouse Atlanta",AMR,Atlanta
"United States","33.7485","-84.3915","10.237.32.0/19",NXA,"Atlanta Nexus",AMR,Atlanta
Thailand,"13.75398","100.50144","10.75.32.0/19",BGK,Bangkok,ASP,Bangkok
Spain,"41.3879","2.1699","10.48.32.0/19",BAR,Barcelona,EUR,Barcelona
Spain,"41.3879","2.1699","10.211.32.0/19",GBA,"Gamma Barcelona",EUR,Barcelona
India,"12.9667","77.5667","10.136.32.0/19",BEK,"CKA Bangalore",ASP,Bengaluru
India,"12.9667","77.5667","10.133.32.0/19",BGL,Bangalore,ASP,Bengaluru
Germany,"52.52437","13.41053","10.57.32.0/19",BER,Berlin,EUR,Berlin
Germany,"52.52437","13.41053","10.192.32.0/19",DVG,"Digital Ventures Berlin",EUR,Berlin
Germany,"52.52437","13.41053","10.219.32.0/19",PBR,"Platinion Berlin Friedrichstr.",EUR,Berlin
Colombia,"4.60971","-74.08175","10.234.32.0/19",BGT,Bogota,AMR,"Bogotá"
"United States","42.3581","-71.0636","10.2.32.0/19",BKA,"Boston Knowledge Analytics",AMR,Boston
"United States","42.3581","-71.0636","10.1.32.0/19",BOS,Boston,AMR,Boston
Belgium,"50.836","4.3707","10.47.32.0/19",BRU,Brussels,EUR,Brussels
Hungary,"47.49835","19.04045","10.56.32.0/19",BUD,Budapest,EUR,Budapest
Argentina,"-34.61315","-58.37723","10.30.32.0/19",BUE,"Buenos Aires",AMR,"Buenos Aires"
Canada,"51.0473","-114.058","10.225.32.0/19",CGY,Calgary,AMR,Calgary
Australia,"-35.3075","149.1244","10.84.32.0/19",CBR,Canberra,ASP,Canberra
Morocco,"33.5333","-7.5833","10.42.32.0/19",CAS,Casablanca,EUR,Casablanca
Morocco,"33.5333","-7.5833","10.212.32.0/19",CAS2,"Casablanca second office",EUR,Casablanca
Morocco,"33.5333","-7.5833","10.212.32.0/19",CAS2,"Casablanca - second office",EUR,Casablanca
India,"13.067","80.1693","10.82.32.0/19",CHE,Chennai,ASP,Chennai
"United States","41.8832","-87.6324","10.90.32.0/19",ADC,"America Data Center","Data Centers",Chicago
"United States","41.8832","-87.6324","10.90.128.0/19",ADC,"ADC DMZ","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.32.0/24",ADC2,"ADC2 INT_PROD","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.108.0/22",ADC2,"ADC2 LB_NW","Data Centers",Chicago
"United States","41.8832","-87.6324","10.90.112.0/23",ADC2,"ADC VCoIP","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.114.0/23",ADC2,"ADC2 DB:NW","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.122.0/23",ADC2,"ADC2 NW_MGT","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.128.0/19",ADC2,"ADC2 DMZ_PROD","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.160.0/22",ADC2,"ADC DMZ_TEST","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.164.0/22",ADC2,"ADC2 DMZ_DEV","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.168.0/22",ADC2,"ADC2 DMZ_Vendor","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.172.0/22",ADC2,"ADC2 LAN_TEST","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.176.0/22",ADC2,"ADC2 LAN_DEV","Data Centers",Chicago
"United States","41.8832","-87.6324","10.93.180.0/23",ADC2,"ADC2 DMZ_Services","Data Centers",Chicago
